country,target domain,CLS,LCP,FID,OSI,category
UK,https://www.europcar.co.uk/en-gb,0.0297,3671.585,846,3317.3,rent a car
UK,https://rentcars.com/,,,,,rent a car
UK,https://govirtuo.com/,,,,,rent a car
UK,https://www.cicar.com/,0.14,4128.4886,83,2743.2,rent a car
UK,https://www.goldcar.com/es-es/,0.1352,1592.238,105,2234.2,rent a car
UK,https://www.zipcar.com/,0.0291,1990.7582,453,2455.7,rent a car
UK,https://okmobility.com/en/,0.0743,619.041,264,4478.3,rent a car
UK,https://questor-insurance.co.uk/,0,1081.3285,299,867,rent a car
UK,https://www.enterprisecarclub.co.uk/gb/en/home.html,0.0756,2740.113,230,3179.3,rent a car
UK,https://www.holidaycars.com/,0,1389.437,152,1337.9,rent a car
UK,https://www.thrifty.co.uk/,0.1307,2454.839,267,1419.1,rent a car
UK,https://www.doyouspain.com/index.htm,0.0287,1575.8975,290,2156.4,rent a car
UK,https://indiecampers.com/,0.002,1052.6553,170,1312.4,rent a car
UK,https://www.fusemetrix.com/,0.0003,4475.5095,68,1583.7,rent a car
UK,https://www.sennheiser-hearing.com/en-DE/,0.0086,3823.7375,144,1642,rent a car
UK,https://www.qeeq.com/,0.0024,2671.055,647,4572.1,rent a car
UK,https://www.suntransfers.com/,0.0104,2230.957,184,1406.3,rent a car
UK,https://www.sixt.com/,0.0015,1506.517,310,2877.7,rent a car
UK,https://greenmotion.com/,0.1208,2086.64,428,3648.8,rent a car
UK,https://www.airporttaxis-uk.co.uk/,0.0065,1505.3274,22,1064.9,rent a car
UK,https://www.alamo.com/en/home.html,0.0082,1166.875,105,1810.5,rent a car
UK,https://turo.com/,0,884.8038,367,1259.6,rent a car
UK,https://www.avis.co.uk/,0.0075,2036.238,238,2314.9,rent a car
UK,https://rentalcar.com/,0.4154,2692.5948,253,1904.6,rent a car
UK,https://www.easycar.com/,0.0018,1318.9245,73,1366,rent a car
UK,https://www.recordrentacar.com/en/,0.2226,1918.4686,120,1853.9,rent a car
UK,https://www.budget.co.uk/,0.0278,2145.0605,206,2461,rent a car
UK,https://www.transfeero.com/en/,0.0008,1809.3015,267,2353.4,rent a car
UK,https://starrluxurycars.com/,0.0009,3929.3961,125,4213.7,rent a car
UK,https://www.carrental8.com/en-us,0.0851,3256.2373,499,4214.4,rent a car
UK,https://www.sixt.co.uk/,0.0015,1448.7905,117,1951.6,rent a car
UK,https://www.practical.co.uk/,0.5783,4294.489,113,2222.5,rent a car
UK,https://liftshare.com/uk,0.044,2638.7954,179,1328.8,rent a car
UK,https://www.budgetcampervans.com/,0.0191,6872.1753,53,5610.2,rent a car
UK,https://www.zestcarrental.com/,0.173,1202.0184,102,971.8,rent a car
UK,https://www.europcar.com/en-us,0.0111,4131.431,1078,3988,rent a car
UK,https://www.hiyacar.co.uk/,0.8432,2253.0045,183,1607.4,rent a car
UK,https://www.autoeurope.co.uk/,0.0029,3691.498,290,2976.1,rent a car
UK,https://blablacar.com/,0,701.5895,35,578,rent a car
UK,https://www.goboony.co.uk/,0.0122,1377.4476,102,1832.6,rent a car
UK,https://northgatevehiclehire.co.uk/,0.0948,1448.2895,619,4090.3,rent a car
UK,https://www.kendallcars.com/,0.1638,5945.0002,112,3014.2,rent a car
UK,https://www.reducemyexcess.co.uk/,0,1671.1685,189,1449,rent a car
UK,https://www.avis.com/en/home,0.2189,3582.3334,635,4484.8,rent a car
UK,https://www.gotrentalcars.com/,0.001,1332.7994,189,1184.1,rent a car
UK,https://www.carhireexcess.co.uk/,0.0521,2104.7641,22,1812.6,rent a car
UK,https://www.arguscarhire.com/,0.4431,1741.3075,136,1580.6,rent a car
UK,https://top-car-hire.com/,0.0049,2101.535,194,2886.9,rent a car
UK,https://www.lrparts.net/,0.0169,1148.2635,298,4718.1,rent a car
UK,https://bipicar.com/de/de,0.0034,2234.1575,686,1695.1,rent a car
UK,https://drivalia.co.uk/,0.0006,5000.217,294,3277,rent a car
UK,https://www.hertz247.co.uk/UK/Home,0.3875,3128.637,201,2686.4,rent a car
UK,https://www.centauro.net/,0.0048,1530.977,299,2223.4,rent a car
UK,https://www.economybookings.com/,0.0036,1480.929,294,1814,rent a car
UK,https://login.microsoftonline.com/96eb113a-138d-4d7e-988c-a0f8c8685f5d/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=7F367503955F0F7B1E835ECA0655C245618C1BD79964A44F%2D4424A051997241BE6612E344ACA41E0BF2B11158DCEB584B9140040BD5F18D17&redirect%5Furi=https%3A%2F%2Fwebgainsltd%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=be6c7ca1%2D30f2%2Db000%2D4b15%2D5e0bd9a07ff4&sso_reload=true,0.0176,1511.194,71,1256.8,rent a car
UK,https://holidaystravel.info/,0.0014,1691.6545,114,2490.2,rent a car
