country,target,year,month,new_referring_main_domains,referring_main_domains,category
UK,lrparts.net,2024,4,12,750,car rentals
UK,lrparts.net,2024,5,26,758,car rentals
UK,lrparts.net,2024,6,14,751,car rentals
UK,lrparts.net,2024,7,10,744,car rentals
UK,lrparts.net,2024,8,9,725,car rentals
UK,lrparts.net,2024,9,21,728,car rentals
UK,lrparts.net,2024,10,26,704,car rentals
UK,lrparts.net,2024,11,15,664,car rentals
UK,lrparts.net,2024,12,45,680,car rentals
UK,lrparts.net,2025,1,14,667,car rentals
UK,enterprisecarclub.co.uk,2024,1,22,1070,car rentals
UK,enterprisecarclub.co.uk,2024,2,17,1021,car rentals
UK,enterprisecarclub.co.uk,2024,3,22,1009,car rentals
UK,enterprisecarclub.co.uk,2024,4,18,994,car rentals
UK,enterprisecarclub.co.uk,2024,5,24,983,car rentals
UK,enterprisecarclub.co.uk,2024,6,31,999,car rentals
UK,enterprisecarclub.co.uk,2024,7,24,990,car rentals
UK,enterprisecarclub.co.uk,2024,8,21,991,car rentals
UK,enterprisecarclub.co.uk,2024,9,17,986,car rentals
UK,enterprisecarclub.co.uk,2024,10,25,980,car rentals
UK,enterprisecarclub.co.uk,2024,11,37,987,car rentals
UK,enterprisecarclub.co.uk,2024,12,24,979,car rentals
UK,enterprisecarclub.co.uk,2025,1,20,945,car rentals
UK,securewebbookings.com,2024,1,2,81,car rentals
UK,securewebbookings.com,2024,2,0,73,car rentals
UK,securewebbookings.com,2024,3,2,74,car rentals
UK,securewebbookings.com,2024,4,2,75,car rentals
UK,securewebbookings.com,2024,5,5,78,car rentals
UK,securewebbookings.com,2024,6,12,87,car rentals
UK,securewebbookings.com,2024,7,4,87,car rentals
UK,securewebbookings.com,2024,8,3,90,car rentals
UK,securewebbookings.com,2024,9,1,90,car rentals
UK,securewebbookings.com,2024,10,5,93,car rentals
UK,securewebbookings.com,2024,11,1,94,car rentals
UK,securewebbookings.com,2024,12,4,97,car rentals
UK,securewebbookings.com,2025,1,8,101,car rentals
UK,securebookingpage.com,2024,1,1,153,car rentals
UK,securebookingpage.com,2024,2,0,152,car rentals
UK,securebookingpage.com,2024,3,1,151,car rentals
UK,securebookingpage.com,2024,4,1,151,car rentals
UK,securebookingpage.com,2024,5,2,152,car rentals
UK,securebookingpage.com,2024,6,0,148,car rentals
UK,securebookingpage.com,2024,7,3,150,car rentals
UK,securebookingpage.com,2024,8,1,149,car rentals
UK,securebookingpage.com,2024,9,1,148,car rentals
UK,securebookingpage.com,2024,10,0,145,car rentals
UK,securebookingpage.com,2024,11,2,134,car rentals
UK,securebookingpage.com,2024,12,10,120,car rentals
UK,securebookingpage.com,2025,1,10,99,car rentals
UK,holidaystravel.info,2024,1,0,2,car rentals
UK,holidaystravel.info,2024,2,0,2,car rentals
UK,holidaystravel.info,2024,3,0,2,car rentals
UK,holidaystravel.info,2024,4,0,2,car rentals
UK,holidaystravel.info,2024,5,3,5,car rentals
UK,holidaystravel.info,2024,6,3,8,car rentals
UK,holidaystravel.info,2024,7,3,11,car rentals
UK,holidaystravel.info,2024,8,5,16,car rentals
UK,holidaystravel.info,2024,9,7,23,car rentals
UK,holidaystravel.info,2024,10,3,26,car rentals
UK,holidaystravel.info,2024,11,3,29,car rentals
UK,holidaystravel.info,2024,12,3,32,car rentals
UK,holidaystravel.info,2025,1,0,32,car rentals
UK,qeeq.com,2024,1,55,2154,car rentals
UK,qeeq.com,2024,2,42,2059,car rentals
UK,qeeq.com,2024,3,50,2047,car rentals
UK,qeeq.com,2024,4,41,2006,car rentals
UK,qeeq.com,2024,5,69,1988,car rentals
UK,qeeq.com,2024,6,44,1978,car rentals
UK,qeeq.com,2024,7,54,1988,car rentals
UK,qeeq.com,2024,8,38,1970,car rentals
UK,qeeq.com,2024,9,43,1947,car rentals
